distance_m,az_deg,el_deg,mode,peak_offset_az_deg,peak_offset_el_deg,peak_offset_deg,peak_db,max_sidelobe_offset_az_deg,max_sidelobe_offset_el_deg,max_sidelobe_offset_deg,max_sidelobe_db,peak_direction_pass
1.0,-14.999999999999998,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,16.363636,11.454545,19.974364,-12.484915,1
1.0,-14.999999999999998,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-14.388189,1
1.0,-14.999999999999998,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-14.727273,14.727273,20.827509,-13.212638,1
1.0,-10.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-9.793031,1
1.0,-10.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-9.010407,1
1.0,-10.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-6.187212,1
1.0,-10.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-12.464301,1
1.0,-10.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-8.181818,18.000000,19.772257,-13.623201,1
1.0,-10.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-14.727273,14.727273,20.827509,-12.982867,1
1.0,-5.0,0.0,uniform,0.000000,0.000000,0.000000,0.000000,-16.363636,13.090909,20.955679,-9.436843,1
1.0,-5.0,0.0,unit_cosine,0.000000,0.000000,0.000000,0.000000,16.363636,13.090909,20.955679,-9.218642,1
1.0,-5.0,0.0,unit_cosine_hamming,0.000000,0.000000,0.000000,0.000000,8.181818,0.000000,8.181818,-6.289380,1
1.0,-5.0,0.0,optimized_dbc_margin,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-12.027497,1
1.0,-5.0,0.0,optimized_table,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-13.251947,1
1.0,-5.0,0.0,optimized_aggressive,0.000000,0.000000,0.000000,0.000000,-16.363636,-13.090909,20.955679,-13.000331,1
