distance_m,az_deg,el_deg,mode,max_sidelobe_db,dbc,dbc_improvement_db,gain_loss_db,dbc_gain_margin_db,p99_sidelobe_db,p99_dbc,p99_dbc_improvement_db,p99_dbc_gain_margin_db,p95_sidelobe_db,target_gain_delta_db,mean_amp,min_amp,max_amp
1.0,-25.0,0.0,optimized_dbc_margin,-12.618978,12.618978,3.433551,1.694584,1.738968,-13.482888,13.482888,2.554530,0.859946,-14.707360,-1.694584,0.680018,0.000000,1.000000
1.0,-25.0,0.0,optimized_table,-13.819790,13.819790,4.634364,6.020631,-1.386267,-14.763169,14.763169,3.834811,-2.185820,-16.023177,-6.020631,0.487223,0.000000,1.000000
1.0,-25.0,0.0,optimized_aggressive,-13.478939,13.478939,4.293513,12.041201,-7.747688,-14.562323,14.562323,3.633965,-8.407236,-16.371892,-12.041201,0.294549,0.000000,1.000000
1.0,-20.0,0.0,uniform,-10.083287,10.083287,0.000000,0.000000,0.000000,-10.927997,10.927997,0.000000,0.000000,-12.971410,0.000000,1.000000,1.000000,1.000000
1.0,-20.0,0.0,unit_cosine,-7.976202,7.976202,-2.107085,3.724933,-5.832018,-8.809957,8.809957,-2.118040,-5.842973,-11.680066,-3.724933,0.732199,0.301815,0.998383
1.0,-20.0,0.0,unit_cosine_hamming,-6.055112,6.055112,-4.028175,13.889815,-17.917991,-7.212790,7.212790,-3.715208,-17.605023,-9.555701,-13.889815,0.226984,0.024145,0.998383
1.0,-20.0,0.0,optimized_dbc_margin,-12.432229,12.432229,2.348942,1.843084,0.505858,-13.803648,13.803648,2.875651,1.032567,-15.156661,-1.843084,0.755918,0.000000,1.000000
1.0,-20.0,0.0,optimized_table,-13.814306,13.814306,3.731018,6.020613,-2.289594,-14.871003,14.871003,3.943005,-2.077607,-15.999417,-6.020613,0.495654,0.000000,1.000000
1.0,-20.0,0.0,optimized_aggressive,-13.979759,13.979759,3.896471,12.041229,-8.144758,-15.085850,15.085850,4.157852,-7.883377,-16.442219,-12.041229,0.300902,0.000000,1.000000
1.0,-14.999999999999998,0.0,uniform,-10.173246,10.173246,0.000000,0.000000,0.000000,-10.893302,10.893302,0.000000,0.000000,-12.742241,0.000000,1.000000,1.000000,1.000000
1.0,-14.999999999999998,0.0,unit_cosine,-8.614255,8.614255,-1.558991,2.533632,-4.092623,-9.793092,9.793092,-1.100210,-3.633842,-12.292196,-2.533632,0.752715,0.362500,0.985518
1.0,-14.999999999999998,0.0,unit_cosine_hamming,-6.008537,6.008537,-4.164709,12.697655,-16.862364,-7.158708,7.158708,-3.734594,-16.432249,-9.614799,-12.697655,0.233344,0.029000,0.985518
1.0,-14.999999999999998,0.0,optimized_dbc_margin,-12.484915,12.484915,2.311669,1.781335,0.530334,-13.724311,13.724311,2.831009,1.049673,-15.128366,-1.781335,0.778683,0.000000,1.000000
1.0,-14.999999999999998,0.0,optimized_table,-14.388189,14.388189,4.214943,6.020598,-1.805656,-14.764230,14.764230,3.870928,-2.149670,-15.808266,-6.020598,0.518978,0.000000,1.000000
1.0,-14.999999999999998,0.0,optimized_aggressive,-13.212638,13.212638,3.039392,12.041241,-9.001850,-14.383864,14.383864,3.490561,-8.550680,-16.048592,-12.041241,0.314215,0.000000,1.000000
1.0,-10.0,0.0,uniform,-9.793031,9.793031,0.000000,0.000000,0.000000,-10.454787,10.454787,0.000000,0.000000,-12.382854,0.000000,1.000000,1.000000,1.000000
1.0,-10.0,0.0,unit_cosine,-9.010407,9.010407,-0.782623,1.636046,-2.418670,-10.390806,10.390806,-0.063981,-1.700027,-12.603295,-1.636046,0.767833,0.429641,0.974369
1.0,-10.0,0.0,unit_cosine_hamming,-6.187212,6.187212,-3.605818,11.799334,-15.405152,-7.209149,7.209149,-3.245638,-15.044972,-9.762466,-11.799334,0.238031,0.034371,0.974369
1.0,-10.0,0.0,optimized_dbc_margin,-12.464301,12.464301,2.671270,1.678477,0.992794,-12.901993,12.901993,2.447206,0.768729,-14.465332,-1.678477,0.768327,0.000000,1.000000
1.0,-10.0,0.0,optimized_table,-13.623201,13.623201,3.830171,6.020604,-2.190434,-14.562871,14.562871,4.108084,-1.912520,-15.644464,-6.020604,0.495388,0.000000,1.000000
1.0,-10.0,0.0,optimized_aggressive,-12.982867,12.982867,3.189836,12.041203,-8.851367,-13.422571,13.422571,2.967784,-9.073419,-15.437844,-12.041203,0.306515,0.000000,1.000000
1.0,-5.0,0.0,uniform,-9.436843,9.436843,0.000000,0.000000,0.000000,-10.166765,10.166765,0.000000,0.000000,-12.212596,0.000000,1.000000,1.000000,1.000000
1.0,-5.0,0.0,unit_cosine,-9.218642,9.218642,-0.218201,1.006827,-1.225028,-10.570358,10.570358,0.403593,-0.603234,-12.348047,-1.006827,0.777091,0.501200,0.993543
1.0,-5.0,0.0,unit_cosine_hamming,-6.289380,6.289380,-3.147463,11.169517,-14.316981,-6.940777,6.940777,-3.225988,-14.395505,-9.946071,-11.169517,0.240901,0.040096,0.993543
1.0,-5.0,0.0,optimized_dbc_margin,-12.027497,12.027497,2.590654,1.453540,1.137114,-12.533750,12.533750,2.366985,0.913445,-14.002293,-1.453540,0.724445,0.000000,1.000000
1.0,-5.0,0.0,optimized_table,-13.251947,13.251947,3.815104,6.020601,-2.205497,-13.920602,13.920602,3.753836,-2.266764,-14.930519,-6.020601,0.426460,0.000000,1.000000
1.0,-5.0,0.0,optimized_aggressive,-13.000331,13.000331,3.563488,8.669244,-5.105756,-13.938948,13.938948,3.772182,-4.897061,-14.646088,-8.669244,0.323661,0.000000,1.000000
1.0,0.0,0.0,uniform,-8.855015,8.855015,0.000000,0.000000,0.000000,-9.834110,9.834110,0.000000,0.000000,-11.869771,0.000000,1.000000,1.000000,1.000000
1.0,0.0,0.0,unit_cosine,-9.383205,9.383205,0.528190,0.731903,-0.203713,-10.361308,10.361308,0.527198,-0.204705,-12.540063,-0.731903,0.780208,0.575000,1.000000
1.0,0.0,0.0,unit_cosine_hamming,-6.325021,6.325021,-2.529994,10.895889,-13.425882,-6.642864,6.642864,-3.191246,-14.087135,-10.073174,-10.895889,0.241867,0.046000,1.000000
1.0,0.0,0.0,optimized_dbc_margin,-11.555333,11.555333,2.700318,1.307196,1.393122,-12.107532,12.107532,2.273422,0.966227,-14.055780,-1.307196,0.664049,0.000000,1.000000
1.0,0.0,0.0,optimized_table,-11.938179,11.938179,3.083164,5.282500,-2.199336,-13.646409,13.646409,3.812298,-1.470201,-14.500985,-5.282500,0.422702,0.000000,1.000000
1.0,0.0,0.0,optimized_aggressive,-11.938179,11.938179,3.083164,5.282500,-2.199336,-13.646409,13.646409,3.812298,-1.470201,-14.500985,-5.282500,0.422702,0.000000,1.000000
1.0,5.0,0.0,uniform,-8.741131,8.741131,0.000000,0.000000,0.000000,-10.326379,10.326379,0.000000,0.000000,-12.205286,0.000000,1.000000,1.000000,1.000000
1.0,5.0,0.0,unit_cosine,-9.423160,9.423160,0.682029,1.006827,-0.324798,-10.446899,10.446899,0.120520,-0.886307,-12.381016,-1.006827,0.777091,0.501200,0.993543
1.0,5.0,0.0,unit_cosine_hamming,-6.289380,6.289380,-2.451751,11.169517,-13.621268,-6.941368,6.941368,-3.385012,-14.554529,-9.951524,-11.169517,0.240901,0.040096,0.993543
1.0,5.0,0.0,optimized_dbc_margin,-11.115246,11.115246,2.374115,1.420884,0.953231,-12.172608,12.172608,1.846228,0.425344,-14.196847,-1.420884,0.723295,0.000000,1.000000
1.0,5.0,0.0,optimized_table,-12.455225,12.455225,3.714094,6.020601,-2.306507,-13.256045,13.256045,2.929666,-3.090935,-14.768669,-6.020601,0.441294,0.000000,0.999953
1.0,5.0,0.0,optimized_aggressive,-12.108073,12.108073,3.366943,8.152820,-4.785878,-13.129571,13.129571,2.803192,-5.349628,-14.794808,-8.152820,0.366737,0.000000,0.999713
1.0,10.0,0.0,uniform,-9.291781,9.291781,0.000000,0.000000,0.000000,-10.634621,10.634621,0.000000,0.000000,-12.540014,0.000000,1.000000,1.000000,1.000000
1.0,10.0,0.0,unit_cosine,-9.223531,9.223531,-0.068250,1.636046,-1.704296,-10.511381,10.511381,-0.123240,-1.759286,-12.404149,-1.636046,0.767833,0.429641,0.974369
1.0,10.0,0.0,unit_cosine_hamming,-6.187212,6.187212,-3.104568,11.799334,-14.903902,-7.212254,7.212254,-3.422367,-15.221701,-9.810917,-11.799334,0.238031,0.034371,0.974369
1.0,10.0,0.0,optimized_dbc_margin,-11.853404,11.853404,2.561623,1.534370,1.027253,-12.891247,12.891247,2.256626,0.722256,-14.388581,-1.534370,0.787135,0.000000,1.000000
1.0,10.0,0.0,optimized_table,-13.721620,13.721620,4.429839,6.020631,-1.590792,-14.345636,14.345636,3.711014,-2.309617,-15.829208,-6.020631,0.490249,0.000000,1.000000
1.0,10.0,0.0,optimized_aggressive,-13.033082,13.033082,3.741301,12.041576,-8.300275,-14.518612,14.518612,3.883991,-8.157585,-15.944324,-12.041576,0.305692,0.000000,1.000000
1.0,14.999999999999998,0.0,uniform,-10.429347,10.429347,0.000000,0.000000,0.000000,-10.738677,10.738677,0.000000,0.000000,-12.882366,0.000000,1.000000,1.000000,1.000000
1.0,14.999999999999998,0.0,unit_cosine,-8.819833,8.819833,-1.609514,2.533632,-4.143146,-9.954167,9.954167,-0.784510,-3.318142,-12.665630,-2.533632,0.752715,0.362500,0.985518
1.0,14.999999999999998,0.0,unit_cosine_hamming,-6.008537,6.008537,-4.420810,12.697655,-17.118465,-7.162115,7.162115,-3.576562,-16.274217,-9.640506,-12.697655,0.233344,0.029000,0.985518
1.0,14.999999999999998,0.0,optimized_dbc_margin,-12.619495,12.619495,2.190148,1.667017,0.523130,-13.895823,13.895823,3.157146,1.490129,-14.759979,-1.667017,0.792381,0.000000,1.000000
